FECHA,Accidentes,Capped
2015-03-06,121,121.0
2015-03-07,112,112.0
2015-03-08,90,90.0
2015-03-09,119,119.0
2015-03-10,148,148.0
2015-03-11,97,97.0
2015-03-12,130,130.0
2015-03-13,118,118.0
2015-03-14,116,116.0
2015-03-15,84,84.0
2015-03-16,130,130.0
2015-03-17,127,127.0
2015-03-18,109,109.0
2015-03-19,144,144.0
2015-03-20,122,122.0
2015-03-21,131,131.0
2015-03-22,74,74.0
2015-03-23,66,66.0
2015-03-24,130,130.0
2015-03-25,133,133.0
2015-03-26,109,109.0
2015-03-27,127,127.0
2015-03-28,112,112.0
2015-03-29,71,71.0
2015-03-30,124,124.0
2015-03-31,98,98.0
2015-04-01,117,117.0
2015-04-02,61,61.0
2015-04-03,34,47.5
2015-04-04,67,67.0
2015-04-05,55,55.0
2015-04-06,123,123.0
2015-04-07,102,102.0
2015-04-08,134,134.0
2015-04-09,117,117.0
2015-04-10,136,136.0
2015-04-11,118,118.0
2015-04-12,75,75.0
2015-04-13,135,135.0
2015-04-14,108,108.0
2015-04-15,107,107.0
2015-04-16,134,134.0
2015-04-17,139,139.0
2015-04-18,115,115.0
2015-04-19,55,55.0
2015-04-20,138,138.0
2015-04-21,145,145.0
2015-04-22,99,99.0
2015-04-23,142,142.0
2015-04-24,149,149.0
2015-04-25,113,113.0
2015-04-26,94,94.0
2015-04-27,136,136.0
2015-04-28,136,136.0
2015-04-29,131,131.0
2015-04-30,132,132.0
2015-05-01,79,79.0
2015-05-02,109,109.0
2015-05-03,79,79.0
2015-05-04,136,136.0
2015-05-05,115,115.0
2015-05-06,110,110.0
2015-05-07,138,138.0
2015-05-08,117,117.0
2015-05-09,137,137.0
2015-05-10,102,102.0
2015-05-11,135,135.0
2015-05-12,147,147.0
2015-05-13,131,131.0
2015-05-14,109,109.0
2015-05-15,136,136.0
2015-05-16,130,130.0
2015-05-17,64,64.0
2015-05-18,74,74.0
2015-05-19,131,131.0
2015-05-20,123,123.0
2015-05-21,124,124.0
2015-05-22,142,142.0
2015-05-23,112,112.0
2015-05-24,64,64.0
2015-05-25,134,134.0
2015-05-26,113,113.0
2015-05-27,125,125.0
2015-05-28,117,117.0
2015-05-29,123,123.0
2015-05-30,115,115.0
2015-05-31,91,91.0
2015-06-01,129,129.0
2015-06-02,118,118.0
2015-06-03,154,154.0
2015-06-04,114,114.0
2015-06-05,122,122.0
2015-06-06,138,138.0
2015-06-07,79,79.0
2015-06-08,68,68.0
2015-06-09,123,123.0
2015-06-10,135,135.0
2015-06-11,108,108.0
2015-06-12,118,118.0
2015-06-13,91,91.0
2015-06-14,70,70.0
2015-06-15,67,67.0
2015-06-16,124,124.0
2015-06-17,110,110.0
2015-06-18,112,112.0
2015-06-19,136,136.0
2015-06-20,110,110.0
2015-06-21,72,72.0
2015-06-22,96,96.0
2015-06-23,115,115.0
2015-06-24,126,126.0
2015-06-25,97,97.0
2015-06-26,120,120.0
2015-06-27,114,114.0
2015-06-28,40,47.5
2015-06-29,63,63.0
2015-06-30,125,125.0
2015-07-01,113,113.0
2015-07-02,112,112.0
2015-07-03,107,107.0
2015-07-04,112,112.0
2015-07-05,67,67.0
2015-07-06,139,139.0
2015-07-07,130,130.0
2015-07-08,138,138.0
2015-07-09,122,122.0
2015-07-10,124,124.0
2015-07-11,106,106.0
2015-07-12,88,88.0
2015-07-13,133,133.0
2015-07-14,133,133.0
2015-07-15,146,146.0
2015-07-16,120,120.0
2015-07-17,144,144.0
2015-07-18,114,114.0
2015-07-19,75,75.0
2015-07-20,74,74.0
2015-07-21,131,131.0
2015-07-22,106,106.0
2015-07-23,117,117.0
2015-07-24,114,114.0
2015-07-25,123,123.0
2015-07-26,63,63.0
2015-07-27,130,130.0
2015-07-28,134,134.0
2015-07-29,145,145.0
2015-07-30,118,118.0
2015-07-31,128,128.0
2015-08-01,112,112.0
2015-08-02,95,95.0
2015-08-03,142,142.0
2015-08-04,139,139.0
2015-08-05,140,140.0
2015-08-06,139,139.0
2015-08-07,92,92.0
2015-08-08,134,134.0
2015-08-09,77,77.0
